Age,Years of Experience,Salary
33,5,70000
37,9,120000
51,21,190000
30,3,45000
43,15,120000
27,1.5,50000
35,8,85000
42,13,140000
32,3,45000
37,9,100000
45,16,140000
33,5,70000
39,10,120000
44,18,160000
29,1.5,40000
38,10,120000
46,19,150000
34,6,70000
36,8,95000
49,21,180000
31,3,50000
41,11,95000
47,20,170000
30,2,40000
38,9,110000
45,15,150000
28,2,40000
35,8,85000
44,14,130000
34,6,100000
35,9,95000
50,22,180000
29,1.5,350
,,
37,10,120000
46,18,160000
31,3,50000
42,12,110000
29,1.5,40000
36,8,95000
44,15,140000
33,4,60000
39,9,110000
45,16,150000
32,4,60000
37,8,90000
47,20,180000
30,2,40000
38,9,120000
46,17,160000
34,5,70000
36,8,95000
49,21,180000
31,3,50000
41,11,95000
47,19,170000
29,1.5,35000
35,9,100000
44,15,150000
33,4,60000
35,8,85000
44,13,130000
32,4,65000
38,10,110000
49,21,180000
29,2,40000
35,7,90000
45,14,140000
33,4,60000
40,12,130000
44,16,160000
30,2,40000
37,9,100000
48,20,180000
31,3,55000
38,9,120000
45,16,150000
33,5,70000
36,8,95000
49,21,180000
31,3,50000
42,12,120000
47,19,170000
29,1.5,35000
35,9,100000
44,15,150000
33,4,60000
35,8,85000
44,13,130000
34,6,80000
36,8,95000
30,2,40000
37,10,120000
45,16,160000
32,4,65000
39,12,130000
47,20,180000
29,2,40000
36,9,100000
43,15,150000
32,3,55000
38,10,110000
48,21,180000
31,3,50000
40,12,130000
45,16,160000
33,4,60000
36,8,95000
47,19,170000
29,2,40000
34,7,90000
44,15,150000
33,5,70000
35,8,90000
43,18,170000
31,3,50000
41,14,150000
44,16,160000
33,4,60000
35,8,85000
45,19,180000
28,1,35000
36,8,110000
44,16,160000
31,3,55000
38,10,110000
48,21,180000
31,3,50000
40,12,130000
45,16,160000
33,4,60000
36,8,95000
47,19,170000
29,2,40000
34,7,90000
44,15,150000
33,5,70000
35,8,90000
43,18,170000
31,3,50000
41,14,150000
44,16,160000
33,4,60000
35,8,85000
43,19,170000
29,2,40000
34,7,90000
44,15,150000
31,6,160000
28,3,125000
26,2,120000
27,2,110000
30,5,180000
29,4,140000
32,7,170000
25,1,100000
33,8,190000
31,6,155000
28,3,130000
30,5,145000
27,2,115000
29,4,140000
34,9,185000
25,1,100000
33,8,190000
31,6,155000
28,3,130000
30,5,145000
28,3,125000
26,2,120000
27,2,110000
30,5,180000
29,4,140000
32,7,170000
25,1,100000
33,8,190000
31,6,155000
28,3,130000
30,5,145000
27,2,115000
29,4,140000
34,9,185000
25,1,100000
33,8,190000
31,6,155000
28,3,130000
30,5,145000
28,3,125000
26,2,120000
27,2,110000
30,5,180000
29,4,140000
32,7,170000
25,1,100000
33,8,190000
31,6,155000
28,3,130000
30,5,145000
27,2,115000
29,4,140000
34,9,185000
25,1,100000
33,8,190000
31,6,155000
28,3,130000
30,5,145000
28,3,125000
26,2,120000
27,2,110000
30,5,180000
29,4,140000
32,7,170000
25,1,100000
33,8,190000
31,6,155000
28,3,130000
30,5,145000
27,2,115000
29,4,140000
34,9,185000
25,1,100000
33,8,190000
31,6,155000
28,3,130000
30,5,145000
27,2,115000
29,4,140000
34,9,185000
25,1,100000
33,8,190000
31,6,155000
28,3,130000
30,5,145000
28,3,125000
26,2,120000
27,2,110000
30,5,180000
29,4,140000
32,7,170000
25,1,100000
33,8,190000
31,6,155000
28,3,130000
30,5,145000
27,2,115000
29,4,140000
34,9,185000
25,1,100000
33,8,190000
31,6,155000
28,3,130000
30,5,145000
27,2,115000
29,4,140000
34,9,185000
25,1,100000
33,8,190000
31,6,155000
28,3,130000
30,5,145000
27,2,115000
29,4,140000
34,9,185000
25,1,100000
33,8,190000
31,6,155000
28,3,130000
30,5,145000
27,2,115000
29,4,140000
34,9,185000
25,1,100000
33,8,190000
31,6,155000
28,3,130000
30,5,145000
27,2,115000
29,4,140000
34,9,185000
26,3,130000
29,6,180000
32,8,190000
27,4,150000
24,1,90000
31,9,195000
28,5,160000
33,11,198000
25,2,110000
30,7,185000
27,4,140000
34,12,196000
23,1,95000
32,10,193000
29,6,175000
30,5,160000
26,3,130000
31,6,180000
28,5,160000
33,11,198000
24,1,90000
30,7,185000
27,4,140000
34,12,196000
25,2,110000
29,6,180000
32,8,190000
27,4,150000
31,9,195000
28,5,160000
33,11,198000
26,3,130000
30,7,185000
27,4,140000
34,12,196000
25,2,110000
32,8,190000
29,6,180000
30,5,160000
33,11,198000
24,1,90000
31,9,195000
28,5,160000
27,4,150000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
25,2,110000
30,7,185000
27,4,140000
34,12,196000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,125000
28,6,175000
30,8,190000
27,4,150000
24,1,95000
31,9,195000
28,5,160000
33,11,198000
26,3,130000
30,7,185000
27,4,140000
34,12,196000
23,1,90000
32,10,193000
29,6,170000
30,5,160000
26,3,135000
31,6,180000
28,5,160000
33,11,198000
24,1,90000
30,7,185000
27,4,140000
34,12,196000
25,2,115000
29,6,180000
32,8,190000
27,4,150000
31,9,195000
28,5,160000
33,11,198000
26,3,130000
30,7,185000
27,4,140000
34,12,196000
25,2,110000
32,8,190000
29,6,180000
30,5,160000
33,11,198000
24,1,90000
31,9,195000
28,5,160000
27,4,150000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
25,2,110000
30,7,185000
27,4,140000
34,12,196000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
23,1,90000
27,4,150000
32,8,190000
24,3,125000
25,2,110000
31,7,180000
28,5,160000
33,10,195000
26,3,130000
30,6,170000
27,4,140000
34,11,196000
23,1,92000
32,9,195000
29,6,170000
30,5,160000
26,3,135000
31,6,180000
28,5,165000
33,11,198000
24,1,95000
30,7,185000
27,4,140000
34,12,196000
25,2,115000
29,6,180000
32,8,190000
27,4,150000
31,9,195000
28,5,160000
33,11,198000
26,3,130000
30,7,185000
27,4,140000
34,12,196000
25,2,110000
32,8,190000
29,6,180000
30,5,160000
33,11,198000
24,1,90000
31,9,195000
28,5,160000
27,4,150000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
25,2,110000
30,7,185000
27,4,140000
34,12,196000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
25,3,135000
32,8,190000
29,6,180000
30,5,160000
24,1,95000
33,11,196000
27,4,140000
26,3,130000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
30,7,185000
27,4,150000
24,1,90000
33,11,198000
25,2,115000
28,5,165000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
27,4,140000
31,6,180000
30,5,160000
24,1,92000
28,5,160000
26,3,130000
32,8,190000
33,11,198000
25,2,110000
30,7,185000
27,4,140000
34,12,196000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
31,9,195000
28,5,160000
26,3,130000
29,6,180000
32,8,190000
33,11,198000
24,1,90000
27,4,140000
25,2,110000
30,7,185000
32,5,135000
27,3,180000
40,12,195000
35,8,165000
43,15,198000
29,4,150000
36,9,162000
31,6,175000
42,13,197000
33,7,142000
29,4,182000
41,11,185000
35,8,170000
27,4,160000
32,8,180000
29,6,150000
30,5,140000
24,2,100000
33,11,190000
27,4,160000
26,3,120000
30,7,170000
31,9,190000
28,5,150000
26,3,120000
30,7,170000
27,4,130000
24,2,95000
33,11,195000
25,2,100000
28,5,150000
26,3,120000
29,6,150000
32,8,180000
33,11,195000
27,4,160000
31,6,170000
30,5,140000
24,2,95000
28,5,150000
26,3,120000
32,8,180000
33,11,195000
25,2,100000
30,7,170000
27,4,160000
34,12,190000
31,9,190000
28,5,150000
26,3,120000
29,6,150000
32,8,180000
33,11,195000
24,2,95000
27,4,160000
25,2,100000
30,7,170000
31,9,190000
28,5,150000
26,3,120000
29,6,150000
32,8,180000
33,11,195000
24,2,95000
27,4,160000
25,2,100000
30,7,170000
31,9,190000
28,5,150000
26,3,120000
29,6,150000
32,8,180000
33,11,195000
24,2,95000
27,4,160000
25,2,100000
30,7,170000
31,9,190000
28,5,150000
26,3,120000
29,6,150000
32,8,180000
33,11,195000
24,2,95000
27,4,160000
25,2,100000
30,7,170000
31,9,190000
28,5,150000
26,3,120000
29,6,150000
32,8,180000
33,11,195000
24,2,95000
27,4,160000
25,2,100000
30,7,170000
31,9,190000
28,5,150000
26,3,120000
29,6,150000
32,8,180000
33,11,195000
24,2,95000
27,4,160000
25,2,100000
30,7,170000
31,9,190000
28,5,150000
26,3,120000
29,6,150000
32,8,180000
33,11,195000
24,2,95000
27,4,160000
25,2,100000
30,7,170000
31,9,190000
28,5,150000
26,3,120000
29,6,150000
32,8,180000
33,11,195000
24,2,95000
27,4,160000
25,2,100000
30,7,170000
31,9,190000
28,5,150000
26,3,120000
29,6,150000
32,8,180000
33,11,195000
24,2,95000
27,4,160000
25,2,100000
30,7,170000
31,9,190000
28,5,150000
26,3,120000
29,6,150000
32,8,180000
33,11,195000
24,2,95000
27,4,160000
25,2,100000
30,7,170000
29,7,180000
27,5,120000
33,10,195000
28,4,160000
26,3,100000
31,8,190000
30,6,170000
32,9,185000
29,7,130000
35,12,190000
27,5,150000
28,6,150000
37,14,195000
26,3,110000
30,8,180000
31,9,185000
29,7,130000
32,10,190000
28,6,155000
34,12,195000
25,2,90000
30,8,185000
29,6,120000
31,9,180000
26,3,100000
33,10,195000
28,4,160000
27,5,125000
30,6,170000
32,9,185000
29,7,130000
35,12,190000
27,5,150000
28,6,150000
37,14,195000
26,3,110000
30,8,180000
31,9,185000
29,7,130000
32,10,190000
28,6,155000
34,12,195000
25,2,90000
30,8,185000
29,6,120000
31,9,180000
26,3,100000
33,10,195000
28,4,160000
27,5,125000
30,6,170000
32,9,185000
29,7,130000
35,12,190000
27,5,150000
28,6,150000
37,14,195000
26,3,110000
30,8,180000
31,9,185000
29,7,130000
32,10,190000
28,6,155000
34,12,195000
25,2,90000
30,8,185000
29,6,120000
31,9,180000
26,3,100000
33,10,195000
28,4,160000
27,5,125000
30,6,170000
32,9,185000
29,7,130000
35,12,190000
27,5,150000
28,6,150000
37,14,195000
26,3,110000
30,8,180000
31,9,185000
29,7,130000
32,10,190000
28,6,155000
34,12,195000
25,2,90000
30,8,185000
29,6,120000
31,9,180000
26,3,100000
33,10,195000
28,4,160000
27,5,125000
30,6,170000
32,9,185000
29,7,130000
35,12,190000
27,5,150000
28,6,150000
37,14,195000
26,3,110000
30,8,180000
31,9,185000
29,7,130000
32,10,190000
28,6,155000
34,12,195000
25,2,90000
30,8,185000
28,7,175000
44,18,190000
33,5,110000
50,16,195000
27,3,100000
25,1,60000
35,8,155000
47,12,175000
46,13,180000
32,4,95000
61,20,200000
41,11,165000
37,9,145000
53,19,195000
30,2,75000
26,3,90000
37,9,155000
32,5,115000
44,12,170000
50,16,190000
27,4,115000
42,14,180000
57,18,195000
35,7,140000
62,19,200000
26,2,70000
42,11,170000
41,14,185000
36,8,140000
49,15,185000
49,15,185000
47,15,180000
47,14,175000
26,2,70000
24,1,60000
62,20,200000
42,14,170000
41,11,165000
23,1,55000
55,17,190000
26,3,90000
33,5,105000
31,6,130000
50,16,185000
24,1,60000
56,17,195000
24,1,60000
37,8,150000
43,13,180000
44,12,170000
34,6,125000
45,15,185000
29,3,90000
29,3,80000
29,3,85000
48,16,190000
43,11,160000
62,19,200000
54,17,195000
60,18,195000
54,14,190000
27,3,95000
23,1,55000
45,13,185000
32,5,120000
57,16,195000
47,14,175000
25,2,75000
58,17,200000
41,12,160000
41,12,175000
26,2,70000
47,15,180000
24,1,60000
48,16,190000
32,5,120000
61,20,200000
45,14,185000
50,16,190000
53,18,195000
47,14,170000
23,1,55000
33,6,130000
42,14,180000
45,14,185000
23,1,55000
37,9,145000
44,12,170000
54,17,195000
38,10,155000
34,6,125000
46,14,180000
30,4,95000
44,11,170000
27,3,100000
42,14,175000
27,3,80000
54,18,195000
38,10,155000
31,6,125000
28,4,110000
30,6,130000
54,16,190000
62,20,200000
62,19,200000
37,9,150000
31,7,140000
58,17,195000
56,17,195000
23,1,55000
49,15,185000
32,5,120000
52,16,190000
32,6,130000
50,16,190000
32,6,130000
34,7,140000
28,2,70000
44,11,170000
55,17,190000
27,3,80000
46,14,180000
27,2,70000
45,14,185000
23,1,55000
36,8,140000
47,14,170000
33,6,130000
43,13,180000
30,4,95000
28,2,70000
43,12,165000
43,13,185000
36,7,140000
24,1,60000
28,3,80000
37,9,150000
41,14,185000
26,2,70000
28,3,90000
43,12,170000
42,14,170000
48,16,190000
27,2,70000
49,15,185000
44,12,170000
27,3,100000
37,10,155000
44,12,170000
56,18,195000
49,15,185000
27,2,70000
48,16,190000
31,7,140000
25,1,60000
50,16,190000
46,14,180000
33,6,130000
42,14,170000
41,12,165000
43,13,185000
32,6,130000
24,1,60000
44,11,170000
36,7,140000
28,4,110000
28,2,70000
37,9,145000
54,16,190000
58,17,200000
27,3,80000
30,4,95000
27,3,100000
54,17,195000
49,15,185000
38,10,155000
54,18,195000
31,6,125000
56,17,195000
31,7,140000
42,14,170000
44,11,170000
37,9,150000
24,1,60000
27,2,70000
42,14,170000
24,1,55000
28,3,80000
43,13,185000
31,7,140000
43,13,180000
27,2,70000
49,15,185000
48,16,190000
30,6,130000
28,4,110000
46,14,180000
37,9,145000
42,14,170000
43,12,165000
31,7,140000
56,17,195000
37,10,155000
54,16,190000
58,17,195000
33,6,130000
29,3,85000
52,18,200000
36,8,140000
26,2,65000
47,16,190000
32,6,120000
29,3,80000
28,3,90000
54,16,190000
57,18,200000
51,16,190000
28,4,110000
46,14,180000
27,2,65000
45,14,185000
23,1,55000
36,7,130000
48,16,190000
33,5,120000
38,10,155000
51,16,190000
27,3,100000
37,9,150000
44,12,170000
27,3,80000
38,10,155000
54,17,195000
49,15,185000
27,2,70000
48,16,190000
31,7,140000
25,1,55000
50,16,190000
46,14,180000
33,6,130000
42,14,170000
41,12,165000
43,13,185000
32,6,130000
24,1,60000
44,11,170000
36,7,140000
28,4,110000
28,2,70000
37,9,145000
54,16,190000
58,17,200000
27,3,80000
30,4,95000
27,3,100000
54,17,195000
49,15,185000
38,10,155000
54,18,195000
31,6,125000
56,17,195000
31,7,140000
42,14,170000
44,11,170000
37,9,150000
24,1,60000
27,2,70000
42,14,170000
24,1,55000
28,3,80000
43,13,185000
31,7,140000
43,13,180000
27,2,70000
49,15,185000
48,16,190000
31,6,125000
40,12,160000
36,8,140000
54,17,195000
27,2,70000
28,2,70000
44,11,170000
43,13,185000
54,17,195000
32,6,130000
38,10,155000
49,15,185000
27,3,80000
54,17,195000
31,7,135000
24,1,55000
48,16,190000
27,2,70000
43,13,185000
44,11,170000
37,9,150000
56,17,195000
28,2,70000
54,17,195000
31,6,125000
49,15,185000
27,2,70000
38,10,155000
27,3,80000
43,13,185000
48,16,190000
44,11,170000
54,17,195000
37,9,150000
28,2,70000
27,2,70000
49,15,185000
31,7,135000
27,3,80000
54,17,195000
38,10,155000
44,11,170000
43,13,185000
27,2,70000
48,16,190000
31,6,125000
54,17,195000
37,9,150000
28,2,70000
27,2,70000
34,5,95000
43,12,170000
27,2,75000
56,18,210000
32,7,135000
40,12,160000
23,1,55000
46,16,190000
41,11,165000
28,3,80000
34,6,120000
49,15,185000
43,13,185000
54,16,190000
36,8,140000
33,6,130000
27,2,70000
44,11,170000
31,6,125000
38,10,155000
27,2,70000
54,17,195000
31,7,140000
32,6,130000
38,10,155000
51,16,190000
28,2,70000
27,3,80000
43,13,185000
27,3,100000
49,15,185000
48,16,190000
31,7,135000
40,12,160000
24,1,55000
27,3,80000
42,14,170000
24,1,55000
28,3,80000
43,13,185000
31,7,140000
43,13,180000
27,2,70000
49,15,185000
48,16,190000
31,6,125000
40,12,160000
36,8,140000
54,17,195000
27,2,70000
28,2,70000
44,11,170000
43,13,185000
54,17,195000
32,6,130000
38,10,155000
49,15,185000
27,3,80000
54,17,195000
31,7,135000
24,1,55000
48,16,190000
27,2,70000
43,13,185000
44,11,170000
37,9,150000
56,17,195000
28,2,70000
54,17,195000
31,6,125000
49,15,185000
54,17,195000
27,3,80000
42,14,170000
38,10,155000
43,13,185000
27,2,70000
31,7,140000
54,17,195000
36,8,140000
27,2,70000
49,15,185000
48,16,190000
31,7,135000
40,12,160000
24,1,55000
27,3,80000
43,13,185000
27,3,100000
49,15,185000
48,16,190000
31,6,125000
40,12,160000
36,8,140000
54,17,195000
27,2,70000
28,2,70000
44,11,170000
43,13,185000
54,17,195000
32,6,130000
38,10,155000
49,15,185000
27,3,80000
54,17,195000
31,7,135000
24,1,55000
48,16,190000
27,2,70000
43,13,185000
44,11,170000
37,9,150000
56,17,195000
28,2,70000
54,17,195000
31,6,125000
49,15,185000
54,17,195000
27,3,80000
42,14,170000
38,10,155000
36,7,120000
29,3,90000
41,14,180000
33,7,130000
42,12,170000
28,2,70000
55,18,210000
26,1,55000
47,16,190000
44,11,165000
30,5,105000
39,11,160000
32,6,110000
50,17,195000
27,3,85000
46,14,180000
25,1,55000
43,13,185000
35,8,140000
29,3,90000
40,12,160000
35,8,145000
41,13,185000
30,5,105000
33,6,110000
55,18,210000
26,1,55000
47,16,190000
44,11,165000
30,5,105000
39,11,160000
32,6,110000
50,17,195000
27,3,85000
46,14,180000
25,1,55000
43,13,185000
35,8,140000
29,3,90000
40,12,160000
35,8,145000
41,13,185000
30,5,105000
33,6,110000
55,18,210000
26,1,55000
47,16,190000
44,11,165000
30,5,105000
39,11,160000
32,6,110000
50,17,195000
27,3,85000
46,14,180000
25,1,55000
43,13,185000
35,8,140000
29,3,90000
40,12,160000
35,8,145000
41,13,185000
30,5,105000
33,6,110000
55,18,210000
26,1,55000
47,16,190000
44,11,165000
30,5,105000
39,11,160000
32,6,110000
50,17,195000
27,3,85000
46,14,180000
25,1,55000
43,13,185000
35,8,140000
29,3,90000
40,12,160000
35,8,145000
41,13,185000
30,5,105000
33,6,110000
55,18,210000
26,1,55000
47,16,190000
44,11,165000
30,5,105000
39,11,160000
32,6,110000
50,17,195000
27,3,85000
46,14,180000
25,1,55000
43,13,185000
35,8,140000
29,3,90000
40,12,160000
35,8,145000
41,13,185000
30,5,105000
33,6,110000
55,18,210000
26,1,55000
47,16,190000
44,11,165000
30,5,105000
39,11,160000
32,6,110000
50,17,195000
27,3,85000
46,14,180000
25,1,55000
43,13,185000
35,8,140000
29,3,90000
40,12,160000
35,8,145000
41,13,185000
30,5,105000
33,6,110000
55,18,210000
31,6,115000
42,13,170000
27,3,80000
51,19,200000
34,7,130000
38,11,155000
29,5,105000
43,14,190000
36,8,140000
48,16,185000
35,8,145000
30,4,90000
50,18,195000
29,4,95000
41,13,170000
33,6,115000
45,16,185000
28,2,65000
39,12,160000
30,5,100000
46,15,180000
25,1,55000
42,14,190000
31,6,115000
49,17,195000
36,9,150000
33,6,115000
45,16,185000
28,2,65000
39,12,160000
30,5,100000
46,15,180000
25,1,55000
42,14,190000
31,6,115000
49,17,195000
36,9,150000
33,6,115000
45,16,185000
28,2,65000
39,12,160000
30,5,100000
46,15,180000
25,1,55000
42,14,190000
31,6,115000
49,17,195000
36,9,150000
33,6,115000
45,16,185000
28,2,65000
39,12,160000
30,5,100000
46,15,180000
25,1,55000
42,14,190000
31,6,115000
49,17,195000
36,9,150000
33,6,115000
45,16,185000
28,2,65000
39,12,160000
30,5,100000
46,15,180000
25,1,55000
42,14,190000
31,6,115000
49,17,195000
36,9,150000
33,6,115000
45,16,185000
28,2,65000
39,12,160000
30,5,100000
46,15,180000
25,1,55000
42,14,190000
31,6,115000
49,17,195000
36,9,150000
33,6,115000
45,16,185000
28,2,65000
39,12,160000
30,5,100000
46,15,180000
25,1,55000
42,14,190000
31,6,115000
49,17,195000
36,9,150000
33,6,115000
45,16,185000
28,2,65000
39,12,160000
30,5,100000
46,15,180000
25,1,55000
42,14,190000
31,6,115000
49,17,195000
36,9,150000
33,6,115000
45,16,185000
28,2,65000
39,12,160000
30,5,100000
46,15,180000
25,1,55000
42,14,190000
31,6,115000
49,17,195000
36,9,150000
33,6,115000
45,16,185000
28,2,65000
39,12,160000
30,5,100000
46,15,180000
25,1,550
29,4,90000
40,12,160000
27,3,80000
50,18,195000
33,6,115000
37,10,150000
28,2,65000
44,14,190000
35,8,140000
47,16,185000
34,7,130000
31,5,105000
51,19,200000
30,5,100000
42,13,170000
33,6,115000
45,16,185000
29,4,90000
39,12,160000
27,3,80000
49,17,195000
32,6,115000
36,8,135000
27,2,65000
43,14,190000
34,8,140000
46,16,185000
33,7,130000
30,5,105000
50,19,200000
30,5,100000
42,13,170000
33,6,115000
45,16,185000
29,4,90000
39,12,160000
27,3,80000
49,17,195000
32,6,115000
36,8,135000
27,2,65000
43,14,190000
34,8,140000
46,16,185000
33,7,130000
30,5,105000
50,19,200000
30,5,100000
42,13,170000
33,6,115000
45,16,185000
29,4,90000
39,12,160000
27,3,80000
49,17,195000
32,6,115000
36,8,135000
27,2,65000
43,14,190000
34,8,140000
46,16,185000
33,7,130000
30,5,105000
50,19,200000
30,5,100000
42,13,170000
33,6,115000
45,16,185000
29,4,90000
39,12,160000
27,3,80000
49,17,195000
32,6,115000
36,8,135000
27,2,65000
43,14,190000
34,8,140000
46,16,185000
33,7,130000
30,5,105000
50,19,200000
30,5,100000
42,13,170000
33,6,115000
45,16,185000
29,4,90000
39,12,160000
27,3,80000
49,17,195000
32,6,115000
36,8,135000
27,2,65000
43,14,190000
34,8,140000
46,16,185000
33,7,130000
30,5,105000
50,19,200000
30,5,100000
42,13,170000
33,6,115000
45,16,185000
